id;name;price;seller #1;price #1;bonus #1;bonus, % #1;seller #2;price #2;bonus #2;bonus, % #2;seller #3;price #3;bonus #3;bonus, % #3;seller #4;price #4;bonus #4;bonus, % #4;seller #5;price #5;bonus #5;bonus, % #5;seller #6;price #6;bonus #6;bonus, % #6;seller #7;price #7;bonus #7;bonus, % #7;seller #8;price #8;bonus #8;bonus, % #8;seller #9;price #9;bonus #9;bonus, % #9;seller #10;price #10;bonus #10;bonus, % #10
100022838624;Этажерка SIJ Новый год NC16080;928;Bezant;928;232;25%;Bezant;928;232;25%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100024033962;Корзина для белья Violet Вязь 2060/1 Коричневый;828;Bezant;828;124;15%;Bezant;828;124;15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022842194;Корзина для белья Curver Style 45 л кремовая;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022836774;Сковорода ATTRIBUTE 25;1399;Bezant;1399;209;15%;Bezant;1399;209;15%;MrDom;1828;274;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022842222;Набор фужеров CRISTAL D'ARQUES reverie для шампанского 6шт;1834;Posuda.ru;1834;458;25%;Posuda.ru;1834;458;25%;Bezant;1799;449;0,25;MrDom;2391;597;0,25;;;;;;;;;;;;;;;;;;;;;;;;
100023854385;Ершик для унитаза с подставкой Wenko Cordoba Белый;1318;Bezant;1318;263;20%;Bezant;1318;263;20%; hit-dekor;2433;486;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100024123202;Органайзер косметический Wenko Femme 05719 Прозрачный;748;Bezant;748;187;25%;Bezant;748;187;25%; hit-dekor;1438;359;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022838424;Этажерка SIJ Снеговик NC16083;798;Bezant;798;199;25%;Bezant;798;199;25%;MrDom;953;238;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022842228;Набор стаканов мечта 6шт 300мл низкие;1291;Posuda.ru;1291;322;25%;Posuda.ru;1291;322;25%;Bezant;1268;317;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022842211;Набор фужеров CRISTAL D'ARQUES reverie для красного вина 6шт;1997;Posuda.ru;1997;499;25%;Posuda.ru;1997;499;25%;Bezant;1958;489;0,25;MrDom;2604;651;0,25;AUTSTOK;1960;490;0,25;;;;;;;;;;;;;;;;;;;;
